target	mode	pn_exit	em_exit	pn_actions	em_actions	pn_completed	em_completed	pn_vdb	em_vdb	vdb_delta	seconds
dev-java/java-config	--build	OK	OK	9	3	10	3	3	3	=	120
dev-java/hamcrest-generator	--build	FAIL(3)	FAIL(1)	140	10	75	27	17	27	-10	790
dev-java/hashcash	--build	FAIL(3)	FAIL(1)	96	10	57	26	16	26	-10	774
dev-java/log4j	--build	OK(cycles)	FAIL(1)	?	?	0	0	0	0	=	11
dev-java/iso-relax	--build	FAIL(3)	FAIL(1)	99	10	58	26	16	26	-10	760
dev-java/jakarta-json-api	--build	FAIL(3)	FAIL(1)	96	10	57	26	16	26	-10	767
dev-java/javahelp	--build	FAIL(3)	FAIL(1)	106	10	60	26	16	26	-10	790
dev-haskell/magic	--build	FAIL(3)	FAIL(1)	13	0	5	1	0	1	-1	3495
dev-haskell/old-time	--build	FAIL(3)	FAIL(1)	16	0	6	1	0	1	-1	3513
dev-java/javassist	--build	FAIL(3)	FAIL(1)	96	10	57	26	16	26	-10	778
dev-lang/gnucobol	--build	OK	OK	3	1	4	1	1	1	=	120
dev-lang/lua	--build	OK	OK	6	2	7	2	2	2	=	66
dev-lang/tcl	--build	OK	OK	3	1	4	1	1	1	=	76
dev-libs/aml	--build	OK	OK	3	1	4	1	1	1	=	38
dev-haskell/ordered-containers	--build	FAIL(3)	FAIL(1)	13	0	5	1	0	1	-1	3539
dev-lang/oorexx	--build	OK	OK	3	1	4	1	1	1	=	349
dev-java/pebble	--build	FAIL(3)	FAIL(1)	122	10	67	27	17	27	-10	738
dev-libs/aws-c-event-stream	--build	OK	OK	18	6	19	6	6	6	=	218
dev-libs/aws-c-io	--build	OK	OK	12	4	13	4	4	4	=	101
dev-java/slf4j-reload4j	--build	FAIL(3)	FAIL(1)	115	10	65	27	17	27	-10	714
dev-libs/d0_blind_id	--build	FAIL(3)	FAIL(1)	3	1	1	0	0	0	=	28
dev-java/woodstox-core	--build	FAIL(3)	FAIL(1)	163	10	83	27	17	27	-10	710
dev-libs/boehm-gc	--build	OK	OK	6	2	7	2	2	2	=	80
dev-java/jdbc-mysql	--build	FAIL(3)	FAIL(1)	332	10	149	31	21	31	-10	832
dev-libs/jansson	--build	FAIL(3)	FAIL(1)	3	1	1	0	0	0	=	27
dev-libs/gost-engine	--build	OK	OK	3	1	4	1	1	1	=	58
dev-libs/cusparselt	--build	FAIL(3)	OK	3	1	0	1	0	1	-1	115
dev-libs/libclthreads	--build	OK	OK	3	1	4	1	1	1	=	35
dev-libs/dqlite	--build	OK	OK	6	2	7	2	2	2	=	108
dev-libs/libee	--build	FAIL(3)	FAIL(1)	6	0	2	0	0	0	=	31
dev-libs/libdwarf	--build	OK	OK	3	1	4	1	1	1	=	67
dev-libs/libgnome-games-support	--build	FAIL(3)	FAIL(1)	249	?	84	0	2	0	+2	48
dev-libs/libnsfb	--build	OK	OK	5	2	6	2	2	2	=	57
dev-libs/icu	--build	OK	OK	3	1	4	1	1	1	=	165
dev-libs/librelp	--build	FAIL(3)	FAIL(1)	3	1	1	0	0	0	=	31
dev-libs/libpfm	--build	OK	OK	3	1	4	1	1	1	=	67
dev-libs/libtar	--build	OK	OK	3	1	4	1	1	1	=	63
dev-libs/gmime	--build	OK	OK	15	5	16	5	5	5	=	277
dev-libs/libwbxml	--build	OK	OK	3	1	4	1	1	1	=	37
dev-haskell/quickcheck-io	--build	FAIL(3)	FAIL(1)	28	0	10	1	0	1	-1	3557
dev-libs/libyaml	--build	OK	OK	3	1	4	1	1	1	=	47
dev-libs/marisa	--build	OK	OK	3	1	4	1	1	1	=	37
dev-haskell/these	--build	FAIL(3)	FAIL(1)	34	0	12	1	0	1	-1	3518
dev-libs/libgee	--build	OK	OK	14	5	15	5	5	5	=	280
dev-libs/mimetic	--build	FAIL(3)	FAIL(1)	3	1	1	0	0	0	=	28
dev-libs/m17n-lib	--build	FAIL(3)	FAIL(1)	6	2	4	1	1	1	=	75
dev-libs/libopenrazer	--build	FAIL(3)	FAIL(1)	129	?	85	0	25	0	+25	245
dev-libs/optix	--build	OK	OK	3	1	4	1	1	1	=	32
dev-libs/oniguruma	--build	OK	OK	3	1	4	1	1	1	=	43
dev-libs/tree-sitter-tsx	--build	OK	OK	3	1	4	1	1	1	=	34
dev-lisp/hyperspec	--build	OK	OK	3	1	4	1	1	1	=	37
dev-libs/protobuf	--build	OK	OK	6	2	7	2	2	2	=	112
dev-lang/php	--build	OK	OK	23	9	24	9	9	9	=	862
dev-libs/libstroke	--build	FAIL(3)	FAIL(1)	26	9	23	8	8	8	=	315
dev-libs/openssl-compat	--build	OK	OK	3	1	4	1	1	1	=	191
dev-libs/sentry-native	--build	OK	OK	10	4	11	4	4	4	=	190
dev-lua/lgi	--build	OK	OK	15	5	16	5	5	5	=	124
dev-libs/libunibreak	--build	FAIL(3)	FAIL(1)	54	0	28	13	10	13	-3	391
dev-libs/xapian-bindings	--build	FAIL(3)	FAIL(1)	10	?	7	0	2	0	+2	241
dev-ml/ocaml-autoconf	--build	OK	OK	3	1	4	1	1	1	=	33
dev-libs/libdbusmenu	--build	FAIL(3)	FAIL(1)	98	36	95	35	35	35	=	881
dev-haskell/yaml	--build	FAIL(3)	FAIL(1)	196	0	66	1	0	1	-1	3449
dev-perl/Alien-Libxml2	--build	OK	OK	23	8	24	8	8	8	=	166
dev-ml/calendars	--build	OK	OK	12	4	13	4	4	4	=	792
dev-ml/cinaps	--build	OK	OK	15	5	16	5	5	5	=	817
dev-perl/B-Flags	--build	OK	OK	3	1	4	1	1	1	=	40
dev-perl/CDDB-File	--build	OK	OK	3	1	4	1	1	1	=	34
dev-perl/CPAN-Changes	--build	OK	OK	49	17	50	17	17	17	=	256
dev-perl/CPAN-Requirements-Dynamic	--build	OK	OK	12	4	13	4	4	4	=	72
dev-perl/Cache-Memcached	--build	OK	OK	10	4	11	4	4	4	=	87
dev-ml/charinfo_width	--build	OK	OK	119	40	120	40	40	40	=	1395
dev-ml/base_quickcheck	--build	OK	OK	125	42	126	42	42	42	=	1447
dev-perl/Apache-Reload	--build	OK	FAIL(1)	32	?	32	0	11	0	+11	743
dev-perl/Cairo	--build	FAIL(3)	FAIL(1)	29	0	20	7	7	7	=	123
dev-perl/Class-C3	--build	OK	OK	6	2	7	2	2	2	=	60
dev-ml/fmt	--build	FAIL(3)	FAIL(1)	121	9	58	34	11	34	-23	1433
dev-perl/Data-ShowTable	--build	OK	OK	3	1	4	1	1	1	=	49
dev-perl/Data-UUID	--build	OK	OK	3	1	4	1	1	1	=	39
dev-ml/ppx_log	--build	OK	OK	140	47	141	47	47	47	=	1461
dev-libs/starpu	--build	FAIL(3)	FAIL(1)	45	0	41	14	14	14	=	1768
dev-perl/Class-Load	--build	OK	OK	35	13	36	13	13	13	=	205
dev-perl/Data-Utilities	--build	OK	OK	6	2	7	2	2	2	=	65
dev-perl/Device-SerialPort	--build	OK	OK	3	1	4	1	1	1	=	54
dev-perl/Color-Calc	--build	OK	OK	49	17	50	17	17	17	=	292
dev-perl/Devel-GlobalDestruction	--build	OK	OK	15	5	16	5	5	5	=	150
dev-perl/Email-Simple	--build	OK	OK	8	3	9	3	3	3	=	80
dev-ml/uuidm	--build	FAIL(3)	FAIL(1)	121	22	58	34	11	34	-23	1448
dev-ml/gapi-ocaml	--build	FAIL(3)	FAIL(1)	189	6	71	53	7	53	-46	1828
dev-perl/Exporter-Cluster	--build	OK	OK	3	1	4	1	1	1	=	37
dev-perl/Email-Date	--build	OK	OK	22	8	23	8	8	8	=	168
dev-perl/ExtUtils-CppGuess	--build	OK	OK	3	1	4	1	1	1	=	39
dev-perl/ExtUtils-Typemaps-Default	--build	OK	OK	3	1	4	1	1	1	=	40
dev-perl/Event-ExecFlow	--build	OK	OK	11	4	12	4	4	4	=	99
dev-perl/ExtUtils-MakeMaker-CPANfile	--build	OK	OK	6	2	7	2	2	2	=	65
dev-perl/Filesys-Statvfs	--build	OK	OK	3	1	4	1	1	1	=	35
dev-perl/FFI-CheckLib	--build	OK	OK	6	2	7	2	2	2	=	60
dev-perl/App-Nopaste	--build	OK	OK	180	64	181	64	64	64	=	1260
dev-perl/HTML-Tagset	--build	OK	OK	3	1	4	1	1	1	=	39
